code,model,plot,zone,batch,block,contractor,unitType,typology,actual,planned,variance,band,label,color
VL6-1901,VL6,1901,1B,6,30,SARH,Villa,VL6,21.8,33,-11.2,lt35,<M35,#93C5FD
VL6-1845,VL6,1845,1B,6,32,SARH,Villa,VL6,22.3,26.3,-4,lt35,<M35,#93C5FD
VL6-1616,VL6,1616,1B,12,67,SARH,Villa,VL6,15.1,16,-0.9,lt35,<M35,#93C5FD
VL6-1802,VL6,1802,1B,9,48,SARH,Villa,VL6,20.6,17.6,3,lt35,<M35,#93C5FD
VL6-1617,VL6,1617,1B,12,67,SARH,Villa,VL6,14.4,16,-1.6,lt35,<M35,#93C5FD
VL6-1832,VL6,1832,1B,6,33,SARH,Villa,VL6,22.2,31.3,-9.1,lt35,<M35,#93C5FD
VL6-1862,VL6,1862,1B,6,32,SARH,Villa,VL6,22.6,26.4,-3.8,lt35,<M35,#93C5FD
VL6-1869,VL6,1869,1B,6,30,SARH,Villa,VL6,21.9,33.1,-11.2,lt35,<M35,#93C5FD
VL6-1797,VL6,1797,1B,9,48,SARH,Villa,VL6,20.7,17.6,3.1,lt35,<M35,#93C5FD
VL6-1831,VL6,1831,1B,6,33,SARH,Villa,VL6,22,31.3,-9.3,lt35,<M35,#93C5FD
VL6-1611,VL6,1611,1B,12,67,SARH,Villa,VL6,17.2,16.1,1.1,lt35,<M35,#93C5FD
VL6-1612,VL6,1612,1B,12,67,SARH,Villa,VL6,17.9,16.1,1.8,lt35,<M35,#93C5FD
VL4-1911,VL4,1911,1B,9,44,SARH,Villa,VL4,12.8,12.1,0.7,lt35,<M35,#93C5FD
VL4-1801,VL4,1801,1B,9,48,SARH,Villa,VL4,13.3,12.7,0.6,lt35,<M35,#93C5FD
VL4-1795,VL4,1795,1B,9,47,SARH,Villa,VL4,16.1,15.6,0.5,lt35,<M35,#93C5FD
VL4-1601,VL4,1601,1B,12,66,SARH,Villa,VL4,14.5,4.7,9.8,lt35,<M35,#93C5FD
VL4-1789,VL4,1789,1B,8,42,SARH,Villa,VL4,13.1,14.5,-1.4,lt35,<M35,#93C5FD
VL4-1798,VL4,1798,1B,9,48,SARH,Villa,VL4,13.3,12.7,0.6,lt35,<M35,#93C5FD
VL4-1555,VL4,1555,1B,10,54,SARH,Villa,VL4,18.3,18,0.3,lt35,<M35,#93C5FD
VL4-1646,VL4,1646,1B,12,64,SARH,Villa,VL4,14.2,3,11.2,lt35,<M35,#93C5FD
VL4-1962,VL4,1962,1B,8,43,SARH,Villa,VL4,12.9,12.2,0.7,lt35,<M35,#93C5FD
VL4-1902,VL4,1902,1B,9,44,SARH,Villa,VL4,12.8,12.1,0.7,lt35,<M35,#93C5FD
VL4-1782,VL4,1782,1B,8,42,SARH,Villa,VL4,13.1,14.5,-1.4,lt35,<M35,#93C5FD
VL4-1593,VL4,1593,1B,12,65,SARH,Villa,VL4,14.2,4.3,9.9,lt35,<M35,#93C5FD
VL4-1650,VL4,1650,1B,12,61,SARH,Villa,VL4,6.3,5.8,0.5,lt35,<M35,#93C5FD
VL4-1680,VL4,1680,1B,11,57,SARH,Villa,VL4,5.6,10.5,-4.9,lt35,<M35,#93C5FD
VL4-1970,VL4,1970,1B,9,46,SARH,Villa,VL4,13.2,12.3,0.9,lt35,<M35,#93C5FD
VL4-1619,VL4,1619,1B,12,64,SARH,Villa,VL4,14.2,3,11.2,lt35,<M35,#93C5FD
VL4-1836,VL4,1836,1B,6,33,SARH,Villa,VL4,14.6,18,-3.4,lt35,<M35,#93C5FD
VL4-1610,VL4,1610,1B,12,68,SARH,Villa,VL4,14.3,3.8,10.5,lt35,<M35,#93C5FD
VL4-1712,VL4,1712,1B,10,52,SARH,Villa,VL4,32.8,17.7,15.1,lt35,<M35,#93C5FD
VL4-1679,VL4,1679,1B,11,57,SARH,Villa,VL4,11.8,10.5,1.3,lt35,<M35,#93C5FD
VL4-1560,VL4,1560,1B,10,54,SARH,Villa,VL4,6.2,18,-11.8,lt35,<M35,#93C5FD
VL4-1839,VL4,1839,1B,6,33,SARH,Villa,VL4,14.6,18,-3.4,lt35,<M35,#93C5FD
VL4-1701,VL4,1701,1B,10,53,SARH,Villa,VL4,21,23.6,-2.6,lt35,<M35,#93C5FD
VL4-1933,VL4,1933,1B,9,45,SARH,Villa,VL4,13.8,13.1,0.7,lt35,<M35,#93C5FD
VL4-1971,VL4,1971,1B,8,43,SARH,Villa,VL4,12.9,12.2,0.7,lt35,<M35,#93C5FD
VL4-1948,VL4,1948,1B,9,44,SARH,Villa,VL4,12.8,12.1,0.7,lt35,<M35,#93C5FD
VL4-1573,VL4,1573,1B,11,58,SARH,Villa,VL4,18.3,7.9,10.4,lt35,<M35,#93C5FD
VL4-1939,VL4,1939,1B,9,44,SARH,Villa,VL4,12.8,12.1,0.7,lt35,<M35,#93C5FD
VL4-1597,VL4,1597,1B,12,65,SARH,Villa,VL4,14,4.3,9.7,lt35,<M35,#93C5FD
VL4-1833,VL4,1833,1B,6,33,SARH,Villa,VL4,14.6,18,-3.4,lt35,<M35,#93C5FD
VL4-1602,VL4,1602,1B,12,68,SARH,Villa,VL4,14.4,3.8,10.6,lt35,<M35,#93C5FD
VL4-1812,VL4,1812,1B,7,35,SARH,Villa,VL4,15,18.9,-3.9,lt35,<M35,#93C5FD
VL4-1600,VL4,1600,1B,12,66,SARH,Villa,VL4,14.5,4.7,9.8,lt35,<M35,#93C5FD
VL4-1963,VL4,1963,1B,9,46,SARH,Villa,VL4,13.2,12.3,0.9,lt35,<M35,#93C5FD
VL4-1809,VL4,1809,1B,7,35,SARH,Villa,VL4,15,18.9,-3.9,lt35,<M35,#93C5FD
DP4-1760,DP4,1760,1B,6,29,SARH,Duplex Villa,DP4,45.2,49.5,-4.3,ms35,M35,#3B82F6
DP4-1838,DP4,1838,1B,6,33,SARH,Duplex Villa,DP4,14.5,16.5,-2,lt35,<M35,#93C5FD
DP4-1841,DP4,1841,1B,6,32,SARH,Duplex Villa,DP4,14.6,28.8,-14.2,lt35,<M35,#93C5FD
DP4-1582,DP4,1582,1B,11,58,SARH,Duplex Villa,DP4,10.6,7.2,3.4,lt35,<M35,#93C5FD
DP4-1810,DP4,1810,1B,7,35,SARH,Duplex Villa,DP4,13.8,17.4,-3.6,lt35,<M35,#93C5FD
DP4-1673,DP4,1673,1B,12,62,SARH,Duplex Villa,DP4,5.2,3.2,2,lt35,<M35,#93C5FD
DP4-1781,DP4,1781,1B,8,41,SARH,Duplex Villa,DP4,12,13,-1,lt35,<M35,#93C5FD
DP4-1714,DP4,1714,1B,11,56,SARH,Duplex Villa,DP4,13.7,20.5,-6.8,lt35,<M35,#93C5FD
DP4-1748,DP4,1748,1B,6,29,SARH,Duplex Villa,DP4,50.2,49.5,0.7,ms50,M50,#FACC15
DP4-1733,DP4,1733,1B,11,56,SARH,Duplex Villa,DP4,14.8,20.5,-5.7,lt35,<M35,#93C5FD
DP4-1936,DP4,1936,1B,9,45,SARH,Duplex Villa,DP4,12.7,12.1,0.6,lt35,<M35,#93C5FD
DP4-1840,DP4,1840,1B,6,32,SARH,Duplex Villa,DP4,14.6,28.8,-14.2,lt35,<M35,#93C5FD
DP4-1581,DP4,1581,1B,11,58,SARH,Duplex Villa,DP4,10.7,7.2,3.5,lt35,<M35,#93C5FD
DP4-1599,DP4,1599,1B,12,66,SARH,Duplex Villa,DP4,1.4,4.3,-2.9,lt35,<M35,#93C5FD
DP4-1645,DP4,1645,1B,12,64,SARH,Duplex Villa,DP4,3,2.7,0.3,lt35,<M35,#93C5FD
DP4-1677,DP4,1677,1B,11,60,SARH,Duplex Villa,DP4,4.6,4.8,-0.2,lt35,<M35,#93C5FD
DP4-1715,DP4,1715,1B,11,56,SARH,Duplex Villa,DP4,13.7,20.5,-6.8,lt35,<M35,#93C5FD
DP4-1591,DP4,1591,1B,12,63,SARH,Duplex Villa,DP4,12.2,3.6,8.6,lt35,<M35,#93C5FD
DP4-1584,DP4,1584,1B,12,63,SARH,Duplex Villa,DP4,6.1,3.6,2.5,lt35,<M35,#93C5FD
DP4-1749,DP4,1749,1B,6,29,SARH,Duplex Villa,DP4,50.2,49.5,0.7,ms50,M50,#FACC15
DP4-1598,DP4,1598,1B,12,66,SARH,Duplex Villa,DP4,1.4,4.3,-2.9,lt35,<M35,#93C5FD
DP4-1678,DP4,1678,1B,11,60,SARH,Duplex Villa,DP4,1.9,4.8,-2.9,lt35,<M35,#93C5FD
DP4-1644,DP4,1644,1B,12,64,SARH,Duplex Villa,DP4,3,2.7,0.3,lt35,<M35,#93C5FD
DP4-1737,DP4,1737,1B,11,56,SARH,Duplex Villa,DP4,14.8,20.5,-5.7,lt35,<M35,#93C5FD
DP4-1811,DP4,1811,1B,7,35,SARH,Duplex Villa,DP4,13.8,17.4,-3.6,lt35,<M35,#93C5FD
DP4-1653,DP4,1653,1B,12,62,SARH,Duplex Villa,DP4,3.5,3.2,0.3,lt35,<M35,#93C5FD
DP4-1780,DP4,1780,1B,8,41,SARH,Duplex Villa,DP4,12,13,-1,lt35,<M35,#93C5FD
DP4-1874,DP4,1874,1B,6,30,SARH,Duplex Villa,DP4,31.2,28.6,2.6,lt35,<M35,#93C5FD
DP4-1592,DP4,1592,1B,12,63,SARH,Duplex Villa,DP4,12.4,3.6,8.8,lt35,<M35,#93C5FD
DP4-1718,DP4,1718,1B,11,56,SARH,Duplex Villa,DP4,13.7,20.5,-6.8,lt35,<M35,#93C5FD
DP4-1583,DP4,1583,1B,12,63,SARH,Duplex Villa,DP4,6.1,3.6,2.5,lt35,<M35,#93C5FD
DP4-1867,DP4,1867,1B,6,32,SARH,Duplex Villa,DP4,13.5,28.8,-15.3,lt35,<M35,#93C5FD
DP4-1837,DP4,1837,1B,6,33,SARH,Duplex Villa,DP4,14.5,16.5,-2,lt35,<M35,#93C5FD
DP4-1772,DP4,1772,1B,8,41,SARH,Duplex Villa,DP4,12,13,-1,lt35,<M35,#93C5FD
DP4-1761,DP4,1761,1B,6,29,SARH,Duplex Villa,DP4,45.4,49.5,-4.1,ms35,M35,#3B82F6
DP4-1896,DP4,1896,1B,6,30,SARH,Duplex Villa,DP4,14.7,28.6,-13.9,lt35,<M35,#93C5FD
DP4-1672,DP4,1672,1B,12,62,SARH,Duplex Villa,DP4,5.2,3.2,2,lt35,<M35,#93C5FD
DP4-1719,DP4,1719,1B,11,56,SARH,Duplex Villa,DP4,13.7,20.5,-6.8,lt35,<M35,#93C5FD
DP4-1866,DP4,1866,1B,6,32,SARH,Duplex Villa,DP4,13.5,28.8,-15.3,lt35,<M35,#93C5FD
DP4-1937,DP4,1937,1B,9,45,SARH,Duplex Villa,DP4,12.7,12.1,0.6,lt35,<M35,#93C5FD
DP4-1773,DP4,1773,1B,8,41,SARH,Duplex Villa,DP4,12,13,-1,lt35,<M35,#93C5FD
DP4-1897,DP4,1897,1B,6,30,SARH,Duplex Villa,DP4,14.7,28.6,-13.9,lt35,<M35,#93C5FD
DP4-1736,DP4,1736,1B,11,56,SARH,Duplex Villa,DP4,14.8,20.5,-5.7,lt35,<M35,#93C5FD
DP4-1652,DP4,1652,1B,12,62,SARH,Duplex Villa,DP4,6,3.2,2.8,lt35,<M35,#93C5FD
DP4-1873,DP4,1873,1B,6,30,SARH,Duplex Villa,DP4,31.2,28.6,2.6,lt35,<M35,#93C5FD
DP4-1732,DP4,1732,1B,11,56,SARH,Duplex Villa,DP4,14.8,20.5,-5.7,lt35,<M35,#93C5FD
VD4-1791,VD4,1791,1B,9,47,SARH,Villa,VD4,14.9,15.6,-0.7,lt35,<M35,#93C5FD
VD4-1819,VD4,1819,1B,6,34,SARH,Villa,VD4,14.5,25.3,-10.8,lt35,<M35,#93C5FD
VD4-1682,VD4,1682,1B,10,51,SARH,Villa,VD4,15.9,16,-0.1,lt35,<M35,#93C5FD
VD4-1720,VD4,1720,1B,11,59,SARH,Villa,VD4,14.1,3.7,10.4,lt35,<M35,#93C5FD
VD4-1788,VD4,1788,1B,8,42,SARH,Villa,VD4,13.1,14.4,-1.3,lt35,<M35,#93C5FD
VD4-1699,VD4,1699,1B,10,49,SARH,Villa,VD4,16.6,30.3,-13.7,lt35,<M35,#93C5FD
VD4-1565,VD4,1565,1B,11,55,SARH,Villa,VD4,17.3,21.3,-4,lt35,<M35,#93C5FD
VD4-1863,VD4,1863,1B,6,32,SARH,Villa,VD4,14.7,29.7,-15,lt35,<M35,#93C5FD
VD4-1816,VD4,1816,1B,6,34,SARH,Villa,VD4,14.5,25.3,-10.8,lt35,<M35,#93C5FD
VD4-1885,VD4,1885,1B,7,39,SARH,Villa,VD4,14.6,22.8,-8.2,lt35,<M35,#93C5FD
VD4-1762,VD4,1762,1B,7,40,SARH,Villa,VD4,14,16,-2,lt35,<M35,#93C5FD
VD4-1594,VD4,1594,1B,12,65,SARH,Villa,VD4,14.2,4.3,9.9,lt35,<M35,#93C5FD
VD4-1894,VD4,1894,1B,6,31,SARH,Villa,VD4,14.7,40.8,-26.1,lt35,<M35,#93C5FD
VD4-1984,VD4,1984,1B,8,43,SARH,Villa,VD4,14.1,12.2,1.9,lt35,<M35,#93C5FD
VD4-1689,VD4,1689,1B,10,51,SARH,Villa,VD4,24.8,16,8.8,lt35,<M35,#93C5FD
VD4-1632,VD4,1632,1B,12,64,SARH,Villa,VD4,14.2,3,11.2,lt35,<M35,#93C5FD
VD4-1725,VD4,1725,1B,11,59,SARH,Villa,VD4,14.1,3.7,10.4,lt35,<M35,#93C5FD
VD4-1747,VD4,1747,1B,10,52,SARH,Villa,VD4,18.1,17.6,0.5,lt35,<M35,#93C5FD
VD4-1870,VD4,1870,1B,6,30,SARH,Villa,VD4,14.7,29.6,-14.9,lt35,<M35,#93C5FD
VD4-1633,VD4,1633,1B,12,64,SARH,Villa,VD4,12.9,3,9.9,lt35,<M35,#93C5FD
VD4-1876,VD4,1876,1B,6,31,SARH,Villa,VD4,15.9,40.8,-24.9,lt35,<M35,#93C5FD
VD4-1731,VD4,1731,1B,11,59,SARH,Villa,VD4,14.1,3.7,10.4,lt35,<M35,#93C5FD
VD4-1769,VD4,1769,1B,8,41,SARH,Villa,VD4,13.1,14.2,-1.1,lt35,<M35,#93C5FD
