code,model,plot,zone,batch,block,contractor,unitType,typology,actual,planned,variance,band,label,color
VL6-2282,VL6,2282,1A,1,4,SARH,Villa,VL6,49.5,57,-7.5,ms35,M35,#3B82F6
VL6-2274,VL6,2274,1A,1,2,SARH,Villa,VL6,49.9,61.2,-11.3,ms35,M35,#3B82F6
VL6-2154,VL6,2154,1A,4,22,SARH,Villa,VL6,45.4,53.7,-8.3,ms35,M35,#3B82F6
VL6-2166,VL6,2166,1A,4,18,SARH,Villa,VL6,47.7,53.2,-5.5,ms35,M35,#3B82F6
VL6-2041,VL6,2041,1A,4,20,SARH,Villa,VL6,48.1,53.3,-5.2,ms35,M35,#3B82F6
VL6-2287,VL6,2287,1A,1,4,SARH,Villa,VL6,48.3,56.9,-8.6,ms35,M35,#3B82F6
VL6-2037,VL6,2037,1A,5,23,SARH,Villa,VL6,46.3,52.4,-6.1,ms35,M35,#3B82F6
VL6-2165,VL6,2165,1A,4,22,SARH,Villa,VL6,46.3,53.6,-7.3,ms35,M35,#3B82F6
VL6-2039,VL6,2039,1A,5,23,SARH,Villa,VL6,47.9,52.4,-4.5,ms35,M35,#3B82F6
VL6-2279,VL6,2279,1A,1,2,SARH,Villa,VL6,50.4,61.1,-10.7,ms50,M50,#FACC15
VL6-2153,VL6,2153,1A,4,18,SARH,Villa,VL6,47.2,53.1,-5.9,ms35,M35,#3B82F6
VL4-2044,VL4,2044,1A,4,19,SARH,Villa,VL4,17.6,23.5,-5.9,lt35,<M35,#93C5FD
VL4-2275,VL4,2275,1A,1,2,SARH,Villa,VL4,49.6,65.5,-15.9,ms35,M35,#3B82F6
VL4-2217,VL4,2217,1A,2,10,SARH,Villa,VL4,23,32.7,-9.7,lt35,<M35,#93C5FD
VL4-2048,VL4,2048,1A,4,19,SARH,Villa,VL4,15.1,23.5,-8.4,lt35,<M35,#93C5FD
VL4-2142,VL4,2142,1A,4,17,SARH,Villa,VL4,14.3,27.7,-13.4,lt35,<M35,#93C5FD
VL4-2286,VL4,2286,1A,1,4,SARH,Villa,VL4,38.7,42.9,-4.2,ms35,M35,#3B82F6
VL4-2283,VL4,2283,1A,1,4,SARH,Villa,VL4,33.2,42.9,-9.7,lt35,<M35,#93C5FD
VL4-2206,VL4,2206,1A,2,8,SARH,Villa,VL4,24.6,46.6,-22,lt35,<M35,#93C5FD
VL4-2258,VL4,2258,1A,1,3,SARH,Villa,VL4,37,52,-15,ms35,M35,#3B82F6
VL4-2255,VL4,2255,1A,1,5,SARH,Villa,VL4,33.4,31.9,1.5,lt35,<M35,#93C5FD
VL4-2250,VL4,2250,1A,1,5,SARH,Villa,VL4,30.9,31.9,-1,lt35,<M35,#93C5FD
VL4-2047,VL4,2047,1A,4,19,SARH,Villa,VL4,13.9,23.5,-9.6,lt35,<M35,#93C5FD
VL4-2141,VL4,2141,1A,4,21,SARH,Villa,VL4,17,36.7,-19.7,lt35,<M35,#93C5FD
VL4-2265,VL4,2265,1A,1,1,SARH,Villa,VL4,62.6,65,-2.4,ms50,M50,#FACC15
VL4-2278,VL4,2278,1A,1,2,SARH,Villa,VL4,53.7,65.5,-11.8,ms50,M50,#FACC15
VL4-2263,VL4,2263,1A,1,3,SARH,Villa,VL4,51,52,-1,ms50,M50,#FACC15
VL4-2194,VL4,2194,1A,2,8,SARH,Villa,VL4,22.8,46.6,-23.8,lt35,<M35,#93C5FD
VL4-2220,VL4,2220,1A,2,10,SARH,Villa,VL4,26.5,32.7,-6.2,lt35,<M35,#93C5FD
VL4-2272,VL4,2272,1A,1,1,SARH,Villa,VL4,62,65,-3,ms50,M50,#FACC15
